,text,id,createdate,source,likes,retweets,followers,sentiment
0,keenum california wake up you guys start voter validation recount trump may,1335872048065867778,2020-12-07 09:01:30,Twitter Web App,0,0,403,neutral
1,emotional neil robertson fight back tear crown uk champ win 200k prize 1am win judd t,1335872047969341440,2020-12-07 09:01:30,IFTTT,0,0,1494,positive
2,georgia republican lieutenant governor rip trump mountain misinformation disgust attack,1335872047415762944,2020-12-07 09:01:30,Twitter Web App,0,0,28809,neutral
3,thing crack trump want important state 2 disregard popular vote,1335872045666750469,2020-12-07 09:01:29,Twitter Web App,0,0,6,positive
4,fight fight trump trump win we never surrender be,1335872044001443845,2020-12-07 09:01:29,Twitter for Android,0,0,858,positive
5,unproven be really serious imagine sleepy joe much dirt trump the msm would,1335872043875782656,2020-12-07 09:01:29,Twitter for iPhone,0,0,44,negative
6,but act not talk take control step put trump republican p,1335872037588492289,2020-12-07 09:01:27,Twitter for iPad,0,0,37,neutral
7,eternal hell trump put position protect find moral help defeat,1335872033352245249,2020-12-07 09:01:26,Twitter Web App,0,0,33446,neutral
8,baba 22 ke padh naa xixingping always,1335872032848809985,2020-12-07 09:01:26,Twitter Web App,0,0,61,neutral
9,the amount polygon trump cause anxiety,1335872027815780352,2020-12-07 09:01:25,Twitter for Android,0,0,6,neutral
10,fight fight trump trump win we never surrender be,1335872018068041729,2020-12-07 09:01:23,Twitter for Android,0,0,858,positive
11,trump promise best stimulus package youve ever see post election but voter result,1335872012858740736,2020-12-07 09:01:21,InfoApp Sales and Marketing Tool,0,0,111,positive
12,1 yeah kind amaze 48 judge look wh,1335872011046817793,2020-12-07 09:01:21,Twitter Web App,0,0,46,positive
13,unfit potus amp increasingly irrelevant moody say adviser depress trump barely show work,1335872004906430465,2020-12-07 09:01:19,Twitter Web App,0,0,1727,negative
14,come january 20 would joe plane trump use instead taxpayer,1335872002935173121,2020-12-07 09:01:19,Twitter for iPhone,0,0,21,neutral
15,ca ballot 99 5 unlawful propose suit to elect trump amp flip house need only sample ballot amp la,1335872000795897856,2020-12-07 09:01:18,Twitter Web App,0,0,522017,positive
16,wrong see desperately try set straw man trump blame,1335872000569511936,2020-12-07 09:01:18,Twitter for iPhone,0,0,81,negative
17,trump lawyer afraid antifa they know dumbass,1335871994148118529,2020-12-07 09:01:17,Twitter Web App,0,0,2,negative
18,fear not trump still win biden never president,1335871993829330945,2020-12-07 09:01:17,Twitter for iPhone,0,0,188,positive
19,trump delivers remark rally georgia senator loeffler perdue,1335871989924302848,2020-12-07 09:01:16,Twitter Web App,0,0,135,neutral
20,prime icke bobb the time come lord permission remov,1335871987969880064,2020-12-07 09:01:15,Twitter for Android,0,0,182,neutral
21,fight fight trump trump win we never surrender be,1335871987772579843,2020-12-07 09:01:15,Twitter for Android,0,0,858,positive
22,traitortrump trend how trump traitor it trump promise put kid glove russia elect,1335871987466420224,2020-12-07 09:01:15,Twitter Web App,0,0,42,positive
