,text,id,createdate,source,likes,retweets,followers,sentiment
0,assurant 3 year major appliance protection plan 400 449 99,1336366880164999168,2020-12-08 17:47:47,Twitter Web App,0,0,44,positive
1,assurant b2b 4yr home furnishing accident protection plan 150 174,1336366753639612417,2020-12-08 17:47:17,Twitter Web App,0,0,35,neutral
2,assurant 5 year appliance protection plan 175 199 99,1336366628573868032,2020-12-08 17:46:47,Twitter Web App,0,0,48,neutral
3,assurant b2b 3 year auto part protection plan accidental damage 25 49 99,1336366529890304000,2020-12-08 17:46:23,Twitter Web App,0,0,47,neutral
4,assurant b2b 3yr home furnishing accident protection plan 50 74,1336365265420836864,2020-12-08 17:41:22,Twitter Web App,0,0,34,neutral
5,3 holiday wish list gift give your customer and your business part 1 the gift time,1336354960120885250,2020-12-08 17:00:25,HubSpot,0,0,559,neutral
6,assurant b2b 4 year auto part protection plan accidental damage 150 174 99,1336336035630829569,2020-12-08 15:45:13,Twitter Web App,0,0,15,neutral
7,estefan hi michel i apologize inconvenience cancellation request phone i would,1336334933409689600,2020-12-08 15:40:50,Sprinklr,0,0,3087,neutral
8,hey ridiculous force customer cancel renter insurance in write a simple pho,1336329310206971908,2020-12-08 15:18:30,Twitter Web App,0,0,800,negative
9,hi lisa would like good understand feedback if open let u know via dm,1336329294839119879,2020-12-08 15:18:26,Sprinklr,0,0,3087,positive
10,absolute bad customer service ever,1336326448487911425,2020-12-08 15:07:07,Twitter Web App,1,0,1,negative
11,assurant 4 year kitchen appliance protection plan 100 124 99,1336324908373065729,2020-12-08 15:01:00,Twitter Web App,0,0,33,neutral
12,assurant b2b 4 year auto part protection plan accidental damage 175 199 99,1336315926459736064,2020-12-08 14:25:19,Twitter Web App,0,0,67,neutral
13,assurant 2 year major appliance protection plan 175 199 99,1336302905213644801,2020-12-08 13:33:34,Twitter Web App,0,0,89,positive
14,jay go let u know via dm be sure include full name claim contact number,1336288238454116353,2020-12-08 12:35:17,Sprinklr,0,0,3087,positive
15,assurant b2b 4yr home improvement protection plan accidental damage 25 49,1336287456535015425,2020-12-08 12:32:11,Twitter Web App,0,0,40,neutral
16,assurant 2 year major appliance protection plan 200 249 99,1336279313033744389,2020-12-08 11:59:49,Twitter Web App,0,0,44,positive
17,assurant 4 year major appliance protection plan 300 349 99,1336263209733386241,2020-12-08 10:55:50,Twitter Web App,0,0,48,positive
18,assurant b2b 4 year auto part protection plan accidental damage 450 499 99,1336252218953986049,2020-12-08 10:12:10,Twitter Web App,0,0,40,neutral
19,assurant 3 year major appliance protection plan 750 999 99,1336245022790840320,2020-12-08 09:43:34,Twitter Web App,0,0,35,positive
20,disappointed company can not good faith recommend google make product e,1336239385205944323,2020-12-08 09:21:10,Twitter for Android,0,0,79,negative
21,assurant 3 year kitchen appliance protection plan 75 99 99,1336239204930469890,2020-12-08 09:20:27,Twitter Web App,0,0,74,neutral
22,assurant b2b 3yr home furnishing accident protection plan 1000 1249,1336233782613999617,2020-12-08 08:58:54,Twitter Web App,0,0,53,neutral
23,assurant b2b 4yr appliance accident protection plan 25 49,1336227370311667713,2020-12-08 08:33:25,Twitter Web App,0,0,38,neutral
24,assurant b2b 4yr home furnishing accident protection plan 150 174,1336200381060116484,2020-12-08 06:46:10,Twitter Web App,0,0,62,neutral
25,assurant 3 year auto part protection plan 50 74 99,1336193975410065408,2020-12-08 06:20:43,Twitter Web App,0,0,40,neutral
26,assurant 2 year kitchen appliance protection plan 100 124 99,1336182629654130688,2020-12-08 05:35:38,Twitter Web App,0,0,34,neutral
27,assurant b2b 4yr appliance accident protection plan 75 99,1336164715643334656,2020-12-08 04:24:27,Twitter Web App,0,0,62,neutral
28,assurant b2b 4yr home improvement protection plan accidental damage 75 99,1336162520378163200,2020-12-08 04:15:44,Twitter Web App,0,0,48,neutral
29,assurant 5 year appliance protection plan 125 149 99,1336158143148040192,2020-12-08 03:58:20,Twitter Web App,0,0,38,neutral
30,lmfaoooo i could tell dirty,1336155331454504961,2020-12-08 03:47:10,Twitter for iPhone,0,0,897,negative
31,bro fuck suck,1336154313975083009,2020-12-08 03:43:07,Twitter for iPhone,0,0,518,negative
32,assurant b2b 3 year auto part protection plan accidental damage 100 124 99,1336153738344427525,2020-12-08 03:40:50,Twitter Web App,0,0,8,neutral
33,assurant 4 year kitchen appliance protection plan 250 299 99,1336143231755591681,2020-12-08 02:59:05,Twitter Web App,0,0,47,neutral
34,assurant 3 year major appliance protection plan 0 49 99,1336142365438992387,2020-12-08 02:55:38,Twitter Web App,0,0,40,positive
35,assurant b2b 4yr home improvement protection plan accidental damage 450 499,1336135172727611392,2020-12-08 02:27:04,Twitter Web App,0,0,40,neutral
36,assurant b2b 3 year auto part protection plan accidental damage 350 399 99,1336129066852708354,2020-12-08 02:02:48,Twitter Web App,0,0,38,neutral
37,assurant b2b 4yr home improvement protection plan accidental damage 700 799,1336124217125871617,2020-12-08 01:43:32,Twitter Web App,0,0,43,neutral
38,assurant b2b 4yr appliance accident protection plan 600 699,1336109524197941250,2020-12-08 00:45:08,Twitter Web App,0,0,41,neutral
39,rise above previous day high today cda csr maq sm1 wmx cgs mvp woa aiz erf deg mxt ski nvx gold,1336107689944944640,2020-12-08 00:37:51,SwingTradeBot ASX,0,0,2528,negative
40,assurant 4 year major appliance protection plan 0 49 99,1336103457669795840,2020-12-08 00:21:02,Twitter Web App,0,0,58,positive
41,assurant 3 year jewelry protection plan 100 124 99,1336084353378471936,2020-12-07 23:05:07,Twitter Web App,0,0,41,neutral
42,assurant 2 year watch protection plan 0 49 99,1336083239593623552,2020-12-07 23:00:42,Twitter Web App,0,0,10,neutral
43,assurant 5 year appliance protection plan 1500 1999 99,1336081763769073665,2020-12-07 22:54:50,Twitter Web App,0,0,22,neutral
44,the phone chip cut lip open i confirm apple support cosmetic defect,1336080876459991040,2020-12-07 22:51:18,Twitter for iPhone,0,0,3,neutral
45,wrong i cancel service sure the iphone hardware malfunction yet i p,1336079274936328192,2020-12-07 22:44:56,Twitter for iPhone,0,0,3,neutral
46,assurant b2b 4 year auto part protection plan accidental damage 350 399 99,1336078326432088065,2020-12-07 22:41:10,Twitter Web App,0,0,25,neutral
47,assurant 5 year appliance protection plan 4000 4999 99,1336056052014432258,2020-12-07 21:12:40,Twitter Web App,0,0,51,neutral
48,assurant b2b 4yr home furnishing accident protection plan 25 49,1336055061336653825,2020-12-07 21:08:43,Twitter Web App,0,0,66,neutral
49,assurant b2b 4yr home furnishing accident protection plan 700 799,1336050737713844224,2020-12-07 20:51:33,Twitter Web App,0,0,13,neutral
50,assurant 2 year major appliance protection plan 50 74 99,1336039803683360770,2020-12-07 20:08:06,Twitter Web App,0,0,89,positive
51,hi i understand look sign assurance be regard assurant wirele,1336038738502299653,2020-12-07 20:03:52,Sprinklr,0,0,207269,neutral
52,everybody tmobile tell help i would deal assurant,1336036463058841601,2020-12-07 19:54:49,Twitter for iPhone,0,0,50,neutral
53,hi james i sorry hear experience would possible send message pri,1336035068331089925,2020-12-07 19:49:17,Sprinklr,0,0,3087,negative
54,assurant b2b 3yr home furnishing accident protection plan 125 149,1336030304918622208,2020-12-07 19:30:21,Twitter Web App,0,0,34,neutral
55,aiz price move 50 day move average october 28 2020 view odds indicator,1336020911913279493,2020-12-07 18:53:02,Tickeron,0,0,7212,negative
56,assurant b2b 3yr home improvement protection plan accidental damage 25 49,1336019642045714433,2020-12-07 18:47:59,Twitter Web App,0,0,38,neutral
57,aiz investigatingthestockmarket assurant security assure adequacy sustain,1336007198841815040,2020-12-07 17:58:32,dlvr.it,0,0,822,neutral
58,aiz assurant security assure adequacy sustain stockmarket trading finance,1336005994720108544,2020-12-07 17:53:45,SAArticlesTwitter,1,0,152064,neutral
59,thank charge 200 dollar renter insurance property state i live i h,1336003497125408768,2020-12-07 17:43:50,Twitter Web App,0,0,211,positive
60,assurant 5 year appliance protection plan 175 199 99,1336000351615369216,2020-12-07 17:31:20,Twitter Web App,0,0,43,neutral
61,assurant b2b 4yr home furnishing accident protection plan 1250 1499,1335999109015031808,2020-12-07 17:26:23,Twitter Web App,0,0,35,neutral
62,assurant b2b 4yr home furnishing accident protection plan 350 399,1335992217178054662,2020-12-07 16:59:00,Twitter Web App,0,0,34,neutral
63,assurant 5 year appliance protection plan 400 449 99,1335989952912363520,2020-12-07 16:50:00,Twitter Web App,0,0,33,neutral
64,assurant b2b 4yr home furnishing accident protection plan 75 99,1335986671624437769,2020-12-07 16:36:58,Twitter Web App,0,0,44,neutral
65,now everybody wan na work assurant lol,1335986171378331652,2020-12-07 16:34:59,Twitter for iPhone,0,0,354,positive
