,text,id,createdate,source,likes,retweets,followers,sentiment
0,steris product full air pollutant refusal adopt,1336132908344598530,2020-12-08 02:18:04,Twitter Web App,0,0,156,positive
1,apd stock quote notification air product chemical inc from stock news alert app,1336089025061466112,2020-12-07 23:23:41,Stock News Alerts,0,0,3671,neutral
2,new article honeywell solvay honeywell air product chemical airgas sinochem corporation fujian king,1335945500206436353,2020-12-07 13:53:22,App for FintechZoom.com,1,0,4631,positive
3,new article industrial gas market 2020 know late covid19 impact analysis and strategy key player a,1335664141084864514,2020-12-06 19:15:21,App for FintechZoom.com,0,0,4631,negative
4,scientist detail 200 us pfas chemical 64 industrial area include mining book conser,1335662183343153157,2020-12-06 19:07:34,Twitter Web App,7,4,22976,neutral
5,new article air product chemical inc nyse apd expect announce quarterly sale 2 32 billion ha,1335520010819805192,2020-12-06 09:42:37,App for FintechZoom.com,0,0,4631,positive
6,a slew different chemical fall catchall term vocs find thousand differe,1335255362870644750,2020-12-05 16:11:01,Buffer,1,0,1614,neutral
7,specialty gas for healthcare market size and forecast 2020 2026 with post impact of covid 19 by top lead pl,1335193435003899904,2020-12-05 12:04:56,WordPress.com,0,0,303,positive
8,apd stock quote notification air product chemical inc from stock news alert app,1334989820729450498,2020-12-04 22:35:50,Stock News Alerts,0,0,3671,neutral
9,apd new sec document air product chemical inc from stock news alert app,1334989364183633922,2020-12-04 22:34:01,Stock News Alerts,0,0,3671,positive
10,when last time think indoor air quality when home seal tightly winter od,1334950738653540352,2020-12-04 20:00:32,Gain Platform,0,0,49,negative
11,apd new insider filing air product amp chemical inc de executive vp coo samir serhan,1334925003750580235,2020-12-04 18:18:17,Insider Alerts,0,0,4512,positive
12,apd new form 4 air product chemical inc from stock news alert app,1334922430264070145,2020-12-04 18:08:03,Stock News Alerts,0,0,3671,positive
13,in lame duck session congress pas legislation phase hydrofluorocarbon potent cl,1334863677858648067,2020-12-04 14:14:36,Twitter for iPhone,4,3,5907,neutral
14,apd new sec document air product chemical inc from stock news alert app,1334642002118537218,2020-12-03 23:33:44,Stock News Alerts,0,0,3671,positive
15,apd stock quote notification air product chemical inc from stock news alert app,1334641024526901249,2020-12-03 23:29:51,Stock News Alerts,0,0,3671,neutral
16,apd air product chemical inc fall fast it 2 51 today,1334611010376916993,2020-12-03 21:30:35,stocksoftheday,0,0,117,positive
17,apd new insider filing air product amp chemical inc de executive vp coo samir serhan,1334557108864430081,2020-12-03 17:56:24,Insider Alerts,0,0,4512,positive
18,apd new insider filing air product amp chemical inc de vp controller pao russell a flugel,1334554341047472129,2020-12-03 17:45:24,Insider Alerts,0,0,4512,positive
19,apd air product chemical inc sec filing form 4,1334542543497940993,2020-12-03 16:58:31,StockTexts,0,0,1746,negative
20,apd new insider filing air product amp chemical inc de executive vp cfo michael s crocco,1334542233849225217,2020-12-03 16:57:17,Insider Alerts,0,0,4512,positive
21,apd new insider filing air product amp chemical inc de chairman pres ceo seifi ghasemi,1334541511502032897,2020-12-03 16:54:25,Insider Alerts,0,0,4512,positive
22,apd new form 4 air product chemical inc from stock news alert app,1334540667742081024,2020-12-03 16:51:04,Stock News Alerts,0,0,3671,positive
23,cause asthma dog gt cigarette fireplace smoke aerosol spray household chemical mould,1334535279189909507,2020-12-03 16:29:39,Twitter for iPhone,3,0,8,neutral
24,reversaltodown apd air product chemical inc tradeideas via,1334513984968462338,2020-12-03 15:05:02,dlvr.it,2,0,143642,neutral
25,covid stock vaccine production pfizer pfe moderna mrna biontech bntx dry ice industry linde lin air produc,1334504035785846785,2020-12-03 14:25:30,Twitter for Mac,5,2,114,negative
26,automotive air conditioning product relate early warning find leak address leaks recovery rechar,1334360163063459843,2020-12-03 04:53:48,Twitter Web App,0,1,2,positive
27,apd stock quote notification air product chemical inc from stock news alert app,1334276264270696448,2020-12-02 23:20:25,Stock News Alerts,0,0,3671,neutral
28,isn funny supermarket claim care health yet sell firework pollute,1334104770295058432,2020-12-02 11:58:58,Twitter for iPhone,2,0,371,positive
29,my problem aerosol use spray air i allergic scent product glen 20 become ill e,1333921622491742208,2020-12-01 23:51:12,Twitter for Android,0,0,2600,negative
30,apd stock quote notification air product chemical inc from stock news alert app,1333910947837120512,2020-12-01 23:08:47,Stock News Alerts,0,0,3671,neutral
31,apd stock quote notification air product chemical inc from stock news alert app,1333549717553356800,2020-11-30 23:13:23,Stock News Alerts,0,0,3671,neutral
32,ever since valujet 592 tragedy ever change group product chemical mostly,1333528686058897408,2020-11-30 21:49:49,Salesforce - Social Studio,0,0,5857,positive
33,ever since valujet 592 tragedy ever change group product chemical mostly,1333528686058897408,2020-11-30 21:49:49,Salesforce - Social Studio,0,0,5857,positive
