,text,id,createdate,source,likes,retweets,followers,sentiment
0,oil giant saudiaramco energy service company bakerhughes form 50 50 joint venture novel develop broad,1336365807157338116,2020-12-08 17:43:31,Sprinklr,4,3,873995,positive
1,saudi aramco energy service company baker hughes form 50 50 joint venture novel develop broad,1336327197859008512,2020-12-08 15:10:06,TweetDeck,0,0,5297,positive
2,oil major saudi aramco energy service company baker hughes form equal joint venture novel dev,1336325867430035456,2020-12-08 15:04:49,Twitter Web App,2,2,2678,positive
3,baker hughes aramco announces jv form new company vi wic p i fin nci l re d,1336275220102000641,2020-12-08 11:43:33,Circleboom Publish,0,0,2906,positive
4,baker hughes aramco announces jv form new company,1336274605728784384,2020-12-08 11:41:07,Twibble.io,0,0,140,positive
5,bkr baker hughes aramco announces jv form new company,1336273511908663297,2020-12-08 11:36:46,SANewsTwitter,3,0,58261,positive
6,job field specialist i svs cc company baker hughes location maca rj brazil maca computer,1336126248695836673,2020-12-08 01:51:36,Engineering Daily ,0,0,16128,neutral
7,energy tech company partner offer service aim provide advanc,1335975871006601221,2020-12-07 15:54:03,Sprout Social,0,0,374,neutral
8,hi look korean speaker if interested know anyone would interested please send yo,1335805041286889475,2020-12-07 04:35:14,Twitter for iPhone,1,9,309,positive
9,job early career trainee field engineering australia 2021 opportunity company baker hughes location mo,1335560158542516226,2020-12-06 12:22:09,Engineering Daily ,0,0,16128,positive
10,bkr baker hughes company bkr present at 5th annual j p morgan energy technology tour conference slideshow,1334890825935802369,2020-12-04 16:02:28,SAArticlesTwitter,0,0,152064,neutral
11,a report show oilfield service market see rapid growth 2026 here report,1334678865042661377,2020-12-04 02:00:13,Buffer,1,0,26,neutral
12,energy tech company partner offer service aim provide advanc,1334612125663309830,2020-12-03 21:35:01,Sprout Social,1,0,374,neutral
13,job early career trainee service company baker hughes location muscat ma oman muscat computer,1334533286220140544,2020-12-03 16:21:44,Engineering Daily ,0,0,16128,positive
14,sand control solution market set witness huge growth 2025 schlumberger halliburton baker hughes company,1334390624993230853,2020-12-03 06:54:51,Twitter Web App,2,0,919,positive
15,we proud announce waygate technology baker hughes business launch first high energy compu,1334173402333110275,2020-12-02 16:31:41,Twitter Web App,12,3,66757,positive
16,hcd register set commodity downturn remind pod back day 2 5c team include ex santos ceo,1334073676812087299,2020-12-02 09:55:25,Twitter for iPhone,9,0,1170,neutral
17,martha stewart live tweet ceo teri johnson share find inspiration,1333895547896422401,2020-12-01 22:07:35,Twitter for Android,2,1,2795,positive
18,the baker hughes foundation announces 250 000 grant nature conservancy promote biodiversity natur,1333859896056483843,2020-12-01 19:45:55,Twitter Web App,19,1,66757,neutral
19,ceo teri johnson share find inspiration figure define new york borough inc,1333546440514301952,2020-11-30 23:00:22,True Anthem,15,3,500678,positive
20,baker hughes global ethic compliance programme design prevent detect properly respond time,1333395890539798530,2020-11-30 13:02:08,Hootsuite Inc.,0,0,1734,neutral
21,global enhance oil recovery market 2020 impact covid 19 future growth analysis challenge schlumberger,1333312020234506240,2020-11-30 07:28:52,WordPress.com,0,0,312,neutral
22,global enhance oil recovery market 2020 impact covid 19 future growth analysis challenge schlumberger,1333312020234506240,2020-11-30 07:28:52,WordPress.com,0,0,312,neutral
