,text,id,createdate,source,likes,retweets,followers,sentiment
0,look inside new home market boston area,1333195818661257217,2020-11-29 23:47:07,SocialFlow,0,0,439,positive
1,5 new boston area property for sale,1333195297132986368,2020-11-29 23:45:03,dlvr.it,0,0,439,positive
2,side suck 59 sparkane fake,1333116651718533122,2020-11-29 18:32:32,Twitter for iPad,0,0,632,negative
3,with covid vaccine horizon future hold urban real estate equity residential president,1333544944888320003,2020-11-30 22:54:25,Twitter Web App,2,1,1571,positive
4,this let u work fly get creative juice flow month assistant propert,1333460197763846151,2020-11-30 17:17:40,Twitter Web App,0,0,8579,positive
5,0 new boston road sullivan ny land sale,1333453309181616129,2020-11-30 16:50:17,IFTTT,0,0,32,positive
6,boston property ceo say lowering infection rate key repopulating office,1333395708649549824,2020-11-30 13:01:24,MeetEdgar,0,0,22445,neutral
10,bill melinda gate place 100 million bet bxp boston property think could add slg sl gr,1333874913183232007,2020-12-01 20:45:36,Twitter for Android,0,1,330,neutral
11,owner midsize property less likely house knowledge bandwidth make big change en,1333870484463759363,2020-12-01 20:28:00,TweetDeck,1,1,1899,negative
12,here be all sell property november beacon hill boston top price 8m,1333845573070426117,2020-12-01 18:49:00,Twitter Web App,0,0,224,positive
13,we rent boston property make i go school outside boston look quaint,1333843568830517248,2020-12-01 18:41:03,Twitter Web App,4,0,1664,neutral
14,check out november sell property sout boston area here top price 1 8m,1333841263959961604,2020-12-01 18:31:53,Twitter Web App,0,0,224,positive
15,here be november sell property back bay boston top price 10 5m,1333839505045016578,2020-12-01 18:24:54,Twitter Web App,0,0,224,positive
16,here be november sell property boston midtown amp waterfront top price 1 9m,1333837896499990530,2020-12-01 18:18:30,Twitter Web App,0,0,224,positive
17,here be all 24 sell last 30 day property the south end boston high price 2 58m,1333836287695069187,2020-12-01 18:12:07,Twitter Web App,0,0,224,positive
18,commodore builder near completion clt hybrid project boston clt lightweight property project tea,1333820666970333186,2020-12-01 17:10:02,Buffer,0,0,1826,positive
19,whether look buy lease commercial space short term long term get option check current,1333813155827490819,2020-12-01 16:40:12,Hootsuite Inc.,0,0,1697,negative
20,from sell portfolio be consider buy sell boston condo home i help people b,1333804416139345926,2020-12-01 16:05:28,Hootsuite Inc.,0,0,748,neutral
21,i ambassador member diamond every year i stay 100 night boston,1333777472538734596,2020-12-01 14:18:24,Twitter for Android,0,0,73,neutral
22,boston property stock have a 40 upside stockmarkets,1333776636290998274,2020-12-01 14:15:05,15 Minute News Business,0,0,550,neutral
23,new price 33 mt vernon st 1 parlor duplex 2 bedroom plus office 3rd bed 2 5 bathroom top line,1333770304846508041,2020-12-01 13:49:55,Hootsuite Inc.,2,1,2064,positive
24,boston property stock have a 40 upside u market news source forbes,1333767313250611202,2020-12-01 13:38:02,NonSell Twitter,0,0,313,neutral
25,aiv 0 32 bxp bxp boston property vs aiv apartment inv mngmt bxp chart,1333718736709160961,2020-12-01 10:25:00,TradingView,0,0,49,neutral
26,trading idea aiv 0 32 bxp aiv apartment inv mngmt v bxp boston property free trad,1333718373104947200,2020-12-01 10:23:34,dlvr.it,0,0,143642,positive
27,aiv 0 32 bxp aiv apartment inv mngmt v bxp boston property aiv chart,1333718260571803648,2020-12-01 10:23:07,TradingView,0,0,49,neutral
28,aiv apartment investment management company aiv vs bxp boston property inc bxp sector real estate,1333717195575201793,2020-12-01 10:18:53,Twitter Web App,0,0,49,positive
29,seaport waterfront apartment rent 1 bedroom 1 bath boston 2 485 luxury boston seaport attraction m,1333671811918172160,2020-12-01 07:18:33,dlvr.it,0,4,952,neutral
30,actually it late great gerald d hines master architect cesar pelli we rent boston property,1333668253508411393,2020-12-01 07:04:24,Twitter for iPhone,63,0,1041513,positive
38,225 wyman lease 138k sf life science tenant this project fantastic campus future scien,1334264667791712258,2020-12-02 22:34:20,Twitter Web App,0,0,1172,positive
