,text,id,createdate,source,likes,retweets,followers,sentiment
0,there many ridiculously good safety 2021 draft if raider not draft 5 andre ci,1333198933493903360,2020-11-29 23:59:30,Twitter for iPhone,15,2,3535,positive
1,go pure cisco,1333198333716951042,2020-11-29 23:57:07,EveryoneSocial,0,0,121,positive
2,cisco i wish lol,1333197364455063552,2020-11-29 23:53:15,Twitter Web App,0,0,1893,positive
3,we see next week tech field day 22 tfd22,1333197301821616128,2020-11-29 23:53:01,Buffer,1,0,9994,neutral
4,i i forever wake,1333196111998316546,2020-11-29 23:48:17,Cisco ebooks,0,0,14,neutral
5,make front desk productive bridge operator console microsoft office communication,1333194387703156738,2020-11-29 23:41:26,BOCNodeTweet,0,1,889,neutral
6,caitlin cisco amp well instead joe amp cecile iris matter,1333194278781247491,2020-11-29 23:41:00,Twitter for Android,0,0,248,neutral
7,you spell bump,1333193596393189376,2020-11-29 23:38:17,Cisco ebooks,0,0,14,neutral
8,work community expand broadband access via ruralbroadband opticalinfrastructure,1333192665190436864,2020-11-29 23:34:35,Twitter for iPhone,0,0,181,neutral
9,mean could pick baby,1333192657087172609,2020-11-29 23:34:33,Twitter Web App,1,0,64,negative
10,feel insecure today,1333192233617555457,2020-11-29 23:32:52,Twitter for iPhone,0,0,87,negative
11,they stay true book boring undoing,1333191812668768263,2020-11-29 23:31:12,Twitter for iPhone,0,0,87,negative
12,global cloud compute service market 2025 top key player amazon vmware savvis racksp,1333191392424722432,2020-11-29 23:29:32,dlvr.it,0,0,3471,positive
13,nigga,1333191082977464320,2020-11-29 23:28:18,Cisco ebooks,0,0,14,neutral
14,drogo i even forget guy name cisco show go love show hating gut,1333190834829873153,2020-11-29 23:27:19,Twitter for Android,0,0,14068,positive
15,cisco kid friend mine fuking love war,1333189098367016962,2020-11-29 23:20:25,Twitter for iPhone,2,0,226,positive
16,adze have always terrible the flash w cisco,1333188836025905158,2020-11-29 23:19:22,Twitter for iPhone,0,0,5619,negative
17,cisco kid friend mine,1333188782103818240,2020-11-29 23:19:09,Twitter for Android,0,0,66,neutral
18,we eat,1333188565774315520,2020-11-29 23:18:18,Cisco ebooks,0,0,14,neutral
19,cisco emerson hit right note nashville cisco blog thanks vanloon great content iot,1333188351629910016,2020-11-29 23:17:27,RTSEF,0,0,4720,positive
20,mighty mouse heckle amp jeckle my little margie i love lucy the mickey mouse club roy rogers ge,1333187880857051137,2020-11-29 23:15:34,Twitter Web App,0,0,1267,positive
21,stay touch quaversal newsletter last week look innovation ciscopartnersummit,1333187746194722816,2020-11-29 23:15:02,Hootsuite Inc.,0,0,171,neutral
22,gain opinion smart trader amp investor anz jblu csco,1333187041094475778,2020-11-29 23:12:14,Twitter tweets 111,0,0,1860,positive
23,the bridge cloud suite give user visibility organization chart user easy transfer,1333186858247917575,2020-11-29 23:11:31,BOCNodeTweet,1,1,889,positive
24,lewd,1333186048738922503,2020-11-29 23:08:18,Cisco ebooks,0,0,14,neutral
25,kid17 qbs tho not gon na lie,1333185270359879680,2020-11-29 23:05:12,Twitter for iPhone,0,0,70,neutral
26,ahmed what need nxos rest give afaik cover everything,1333185261921054722,2020-11-29 23:05:10,Twitter for Android,0,0,408,neutral
27,organisation india see significant increase cybersecurity challenge face amid shift,1333185225837383680,2020-11-29 23:05:01,Buffer,1,0,14,positive
28,i work adobe cisco no one pronounce word hard g,1333184640576675840,2020-11-29 23:02:42,twittbot.net,0,0,17,negative
29,ready remote first mobile world learn spoke work cisco twillo mobilize inegrate ke,1333184462952206337,2020-11-29 23:01:59,HubSpot,0,0,1231,positive
30,tyreek hill no cisco ramon,1333183995496988673,2020-11-29 23:00:08,Twitter for iPhone,1,0,237,neutral
31,dna intent base networking infrastructure failure cost enterprises 100 000 per hour average get,1333183978967347206,2020-11-29 23:00:04,ContentMX,0,0,64,negative
32,cisco president asean atk share company accelerate technological adoption ana,1333183977385967616,2020-11-29 23:00:04,LinkedIn,0,0,297,neutral
33,i no experience aci really full parity i trust cisco,1333183914370768897,2020-11-29 22:59:49,Twitter Web App,1,0,725,positive
34,out,1333183532303314948,2020-11-29 22:58:18,Cisco ebooks,0,0,14,neutral
35,band 133 ytd 150 22 since 10 13 ma 50 164 q3 20 yoy rev 230m 35 p l 5m customer 2k 25 nrr 131,1333183188722733057,2020-11-29 22:56:56,Twitter Web App,4,0,1217,neutral
36,in order prepare it leader strategists next disruption 2021 global network trend report c,1333183020011053057,2020-11-29 22:56:15,Influitive,0,0,592,neutral
37,dec 4 be zero trust network answer create cyber secure america,1333181195765641222,2020-11-29 22:49:01,Buffer,3,2,26788,positive
38,actually i like cheer,1333181013091098624,2020-11-29 22:48:17,Cisco ebooks,0,0,14,neutral
39,javon kinlaw pick six touchdown san fran cisco lead 14 3 early third quarter fttb,1333180995374252033,2020-11-29 22:48:13,Twitter for Android,0,0,169,positive
40,free complete course build home lab cisco ccna study all need know different,1333180899618402304,2020-11-29 22:47:50,Twitter Web App,0,0,4850,positive
41,re fachera,1333180885949161477,2020-11-29 22:47:47,Twitter for Android,0,0,134,neutral
42,global internet thing iot security market expect to reach high cagr 2026 cisco system intel corpo,1333179953953845250,2020-11-29 22:44:04,IFTTT,0,1,218,positive
43,meet bridge operator console part bridge cloud suite cisco unify communication the best attendant,1333179344886394880,2020-11-29 22:41:39,BOCNodeTweet,0,0,889,positive
44,it use ratchet1234clank guess i love franchise bit later become jokex beca,1333179254956290053,2020-11-29 22:41:18,Twitter for iPhone,0,0,117,positive
45,glad,1333178495728541697,2020-11-29 22:38:17,Cisco ebooks,0,0,14,positive
46,the future healthcare knock be you ready tomorrow healthcare health via,1333177941325471750,2020-11-29 22:36:05,TwinyBots,0,0,14298,positive
47,ingram micro look specialty account representative i ii cisco job,1333177788745076739,2020-11-29 22:35:28,Jobvite,0,0,57,neutral
48,country gentleman fare thee well cisco right,1333177116901380102,2020-11-29 22:32:48,Spinitron Playlists,0,0,428,positive
49,will nq see 11900 2020 aapl tsla pltr,1333176724490776582,2020-11-29 22:31:15,Twitter for iPhone,1,0,22,neutral
50,rapunzel varian patton captain marvel dc evan heidi adam cisco ramon luna lovegood john laurens,1333176278426529793,2020-11-29 22:29:28,Twitter for Android,1,0,594,neutral
51,or cisco maddog 20 20,1333176020862570498,2020-11-29 22:28:27,Instagram,0,0,52,neutral
52,pg pep csco some nice diversity dividend,1333175406447497217,2020-11-29 22:26:00,Twitter for iPhone,3,1,44,positive
53,want fulfil career get cisco certify pro tip chuck n friend,1333175311488471041,2020-11-29 22:25:38,Twitter Web App,0,0,1716,neutral
54,black belt academy ciscoblackbelt simplified enablement framework contact center map contactcenter essenti,1333175155581972482,2020-11-29 22:25:00,Sprinklr,7,2,95793,negative
55,discover technology support strive support australians no one ha,1333175043648614400,2020-11-29 22:24:34,Influitive,0,0,0,neutral
56,i comment one 20 year chart march 10 2000 peak some stock like cisco peak,1333174735820054529,2020-11-29 22:23:20,Twitter for iPhone,1,0,59261,neutral
57,ayyyye thank,1333174248379084802,2020-11-29 22:21:24,Twitter for iPhone,0,0,532,neutral
58,so default i actually happen you,1333173465151647745,2020-11-29 22:18:17,Cisco ebooks,0,0,14,neutral
59,always good vibe always,1333172939802423302,2020-11-29 22:16:12,Streamlabs Twitter,1,1,132,positive
60,be remotework team collaborate communicate quaversal help simplify tech save,1333172648117932032,2020-11-29 22:15:03,Hootsuite Inc.,0,0,171,neutral
61,no problem,1333170945956179970,2020-11-29 22:08:17,Cisco ebooks,0,0,14,neutral
62,bro fight next,1333170403632697345,2020-11-29 22:06:07,Twitter for iPhone,0,0,214,neutral
63,how manufacturer stay resilient secure into future via cisco,1333170137843838981,2020-11-29 22:05:04,Hootsuite Inc.,0,0,559,positive
64,the construction go remove trump hysteria fence biden,1333169787653021697,2020-11-29 22:03:41,Twitter Web App,0,0,600,neutral
65,my lazy day thanksgiving get extended weekend long event,1333169671319789573,2020-11-29 22:03:13,Twitter Web App,2,0,109,negative
66,the needs meeting one one differ need meeting one many,1333169025061359616,2020-11-29 22:00:39,LatelyAI,0,0,134,positive
67,learn aneurin bevan university health board use cisco software define access deliver patient ca,1333168871004647425,2020-11-29 22:00:02,LinkedIn,0,0,200,neutral
68,1 extensive experience large multinational it company operation armenia microsoft ibm synops,1333168812804382720,2020-11-29 21:59:48,Twitter Web App,0,0,717,positive
69,dick,1333168433450471424,2020-11-29 21:58:18,Cisco ebooks,0,0,14,neutral
70,kid17 good ram tho,1333168311081734144,2020-11-29 21:57:49,Twitter for iPhone,1,0,70,positive
71,fr tho,1333167393951150084,2020-11-29 21:54:10,Twitter for iPhone,0,0,122,neutral
72,catch session strategy increase conversion digital summit home excite,1333167186433748994,2020-11-29 21:53:20,Twitter Web App,3,1,30598,neutral
73,trejon hugue cisco juco pick bearsfb offer,1333166415222870020,2020-11-29 21:50:17,Twitter for iPhone,22,5,41045,neutral
74,like,1333165914842394628,2020-11-29 21:48:17,Cisco ebooks,0,0,14,neutral
75,meet bridge operator console part bridge cloud suite cisco unify communication fast sleek elega,1333164739900354560,2020-11-29 21:43:37,BOCNodeTweet,0,0,889,positive
76,do take manage cisco network device daily learn operate window,1333164643922087937,2020-11-29 21:43:14,CoSchedule,5,5,47011,neutral
77,no cisco sonia shirt thief sonia loot lynden,1333164464271593472,2020-11-29 21:42:31,Twitter for iPhone,0,0,91,neutral
78,complete free lab exercise solution cover topic late cisco ccna exam,1333164306733690880,2020-11-29 21:41:54,Twitter Web App,0,0,4850,positive
79,cwdm oadm1 1590 cisco dual single channel oadm module 1590nm,1333163618490339334,2020-11-29 21:39:10,IFTTT,0,0,22,negative
80,fake,1333163397211369478,2020-11-29 21:38:17,Cisco ebooks,0,0,14,negative
81,a graduate student zoom worst it certainly well cisco webex sure,1333162996294672389,2020-11-29 21:36:41,Twitter for iPhone,0,0,190,negative
82,what one stop shop partner news update resource need the partner news,1333162158142746625,2020-11-29 21:33:22,Sprinklr,5,0,95793,neutral
83,fttb handoff mostert touchdownnnnn san fran cisco,1333161736904568832,2020-11-29 21:31:41,Twitter for Android,0,0,712,neutral
84,raheem mostert touchdown san fran cisco lead 7 3 1st quarter fttb sfvslar,1333161558734557186,2020-11-29 21:30:59,Twitter Web App,0,0,169,neutral
