,text,id,createdate,source,likes,retweets,followers,sentiment
0,i carlos acosta year ago,1333198776601882624,2020-11-29 23:58:52,Twitter for Android,1,0,2387,neutral
1,happy belated birthday i hope wonderful day,1333198712294739969,2020-11-29 23:58:37,Twitter Web App,1,0,568,positive
2,charity raffle proceeds birmingham win claynecrawford calendar autograph hoodie,1333197923178467329,2020-11-29 23:55:29,Twitter Web App,11,5,568,positive
3,hopkin not unlike shop mall cinema mystery interior,1333196889769041920,2020-11-29 23:51:22,Twitter Web App,1,0,695,neutral
4,christmas treat fiona eaton 1999 hc dj craft cookbooks decoration foodgifts via,1333196530409492483,2020-11-29 23:49:57,Twitter Web App,0,0,3493,neutral
5,linam i look forward,1333196288813371397,2020-11-29 23:48:59,Twitter for Android,0,0,1430,neutral
6,new article honeywell oxygen sensor market report 2020 analysis lead manufacturer siemens honeywell ab,1333196273646755841,2020-11-29 23:48:55,App for FintechZoom.com,0,0,4632,positive
7,you clown,1333196105857847296,2020-11-29 23:48:15,Twitter for Android,0,0,88,neutral
8,for sure i dm email,1333196045535350785,2020-11-29 23:48:01,Twitter for Android,2,0,1430,positive
9,just desert probably go eaton harvard lol,1333195828412833793,2020-11-29 23:47:09,Twitter for Android,0,0,12,positive
10,the ammonia fish tank,1333195702659395599,2020-11-29 23:46:39,Twitter for iPhone,4,0,49,neutral
11,eaton an icon social medium queen,1333193377408540673,2020-11-29 23:37:25,Twitter Web App,37,2,15568,positive
12,checkout toccoa ga stephens county eaton location shut first quarter 2021,1333191513577164800,2020-11-29 23:30:00,Twitter for iPhone,47,28,63,positive
13,need win oscar emmy tony and grammy lol she everything i want,1333190989247287296,2020-11-29 23:27:55,Twitter for iPhone,6,0,147,positive
14,i seem recall dominion tide soros group toronto squirreled away office b,1333190771135164423,2020-11-29 23:27:03,Twitter for Android,76,9,1617,neutral
15,i seem recall dominion tide soros group toronto squirreled away office b,1333190504897503240,2020-11-29 23:26:00,Twitter for Android,492,124,1617,neutral
16,eaton gargantuan company own many subsidiary electical software base,1333189717400170496,2020-11-29 23:22:52,Twitter Web App,0,0,2,negative
17,outside eaton corporation wifi sec state pollpad you pick outside parking lot,1333189535249948672,2020-11-29 23:22:09,Twitter for iPhone,6,6,10,negative
18,well eaton make differential supercharger make sense,1333189064653041664,2020-11-29 23:20:17,Twitter for Android,1,0,993,neutral
19,you investigate case sack eaton master know there currently petition,1333188138143977473,2020-11-29 23:16:36,Twitter Web App,0,0,126,neutral
20,400 year first thanksgiving tribe fed pilgrims continue fight land amid ano,1333187806735294464,2020-11-29 23:15:17,Twitter for iPad,0,0,8,positive
21,he might brad raffensperger 163 english ordinal eaton corporation 163 english kabbalah,1333187435136692226,2020-11-29 23:13:48,Twitter Web App,32,5,72,neutral
22,author i take pitmad one since i tie dissertation moment,1333187181238759427,2020-11-29 23:12:48,Twitter Web App,1,0,609,neutral
23,davy i accept judy eaton request comment unpublished work it,1333187075257085954,2020-11-29 23:12:22,Twitter Web App,0,0,3316,neutral
24,author be still available i would love,1333186952879804418,2020-11-29 23:11:53,Twitter for Android,2,0,124,positive
25,i miss eaton relevant can explain,1333186949809545216,2020-11-29 23:11:52,Twitter for iPhone,1,0,20,positive
26,eaton cyber security service,1333186593444786176,2020-11-29 23:10:27,Twitter for iPhone,1,1,102,neutral
27,that guy lin wood full shit present evidence ssid supposedly secretary state eaton,1333186097694855168,2020-11-29 23:08:29,Twitter for iPhone,1,0,275,positive
28,it like illegal ballot print interesting eaton paper,1333186025762349056,2020-11-29 23:08:12,Twitter Web App,11,4,254,neutral
29,eaton electrical gear company,1333185644739215360,2020-11-29 23:06:41,Twitter for Android,4,0,3291,neutral
30,how eaton corporation connect what business,1333185317424291846,2020-11-29 23:05:23,Twitter for iPhone,5,2,146,neutral
31,what eaton,1333185172615950339,2020-11-29 23:04:49,Twitter for iPad,0,0,36,neutral
