,text,id,createdate,source,likes,retweets,followers,sentiment
0,long dtl mt ncm iag cut ncm today likely gold continue fall close qan flt web,1333105309628256258,2020-11-29 17:47:28,Twitter for Android,0,0,10,negative
1,flt 10 day move average move 50 day move average november 11 2020 view odds oth,1333093872889593856,2020-11-29 17:02:01,Tickeron,1,0,7214,negative
2,missed 1652 pip close 1656 instead look short flt close 1670 possible,1333553736011059200,2020-11-30 23:29:21,Twitter Web App,1,0,2314,neutral
3,flt break 61 8 hard today horizontal not hold gap fill may turn around hold breath,1333551988248776704,2020-11-30 23:22:24,Twitter Web App,0,0,2314,negative
4,nov 30 stock new time 52 week high apha nml flt lun fm cmmc grn very h vff 26 resu,1333520223887093766,2020-11-30 21:16:11,Zapier.com,2,0,1091,positive
5,flt new form 3 fleetcor technology inc from stock news alert app,1333518710607372290,2020-11-30 21:10:10,Stock News Alerts,0,0,3672,positive
6,flt fleetcor technology inc sec filing form 3,1333518002059415552,2020-11-30 21:07:21,StockTexts,0,0,1746,negative
7,flt takof extremely unusual volume today w spike sign bet future monday volume already beat,1333513154807144449,2020-11-30 20:48:06,Twitter Web App,1,0,47,positive
8,break news could seal big tech fate project 29 billion market read more,1333478518529929221,2020-11-30 18:30:28,Hootsuite Inc.,0,1,3077,neutral
9,nov 30 stock trend high morning high high bbd b apha nml brag flt cmmc grn fan dya,1333444165930250240,2020-11-30 16:13:58,Zapier.com,2,0,1091,positive
10,canadian market mover price gt 1 huge 42 380 hive 19 390 hut 18 570 onc 16 990 flt 15 730,1333433862135967751,2020-11-30 15:33:01,StockTreats,0,0,1517,positive
11,get lucky one long flt,1333433445616377856,2020-11-30 15:31:22,Twitter for Android,1,0,679,positive
12,flt 10 day move average move 50 day move average november 11 2020 view odds oth,1333432718852378625,2020-11-30 15:28:28,Tickeron,0,0,7214,negative
13,nov 30 gap high bbd b hive nml apha brag flt cmmc ogi grn nou 42 result scan upda,1333429718880833536,2020-11-30 15:16:33,Zapier.com,1,0,1091,positive
14,time end 3rd party hotel connection m appleton fleetcor airline division payment b,1333429295121915904,2020-11-30 15:14:52,Twitter Web App,0,0,7,neutral
15,demand come back loosen credit fleetcor new cfo charles freund comp,1333425303419490304,2020-11-30 14:59:00,shp.so,0,0,32,positive
16,flt 96c cad today holy moly,1333424191912153089,2020-11-30 14:54:35,Twitter Web App,0,0,97,neutral
17,big news fleetcor brand clc lodge you book hotel flight rental car clc lodge,1333380286500003842,2020-11-30 12:00:07,shp.so,0,0,45,neutral
18,we proud present wta pick your classic pick favorite match enjoy wta youtube ch,1333289693203599362,2020-11-30 06:00:08,shp.so,0,0,1716,positive
19,the payroll industry need adapt modern economy whether hold multiple job peer peer payme,1333264274211344385,2020-11-30 04:19:08,shp.so,0,0,1716,positive
20,the covid economy cash liquidity break without proper attention without appropriate,1333259493182935041,2020-11-30 04:00:08,shp.so,0,0,1716,positive
23,they recently acquire afex international payment co expect close first q1 2021 afex handle,1333876631627128832,2020-12-01 20:52:25,Twitter Web App,11,2,6949,positive
24,and course payment subsidiary fleetcor look acquire year could interest,1333875534602727425,2020-12-01 20:48:04,Twitter Web App,10,1,6949,neutral
25,flt technical alert non adx 1 2 3 4 bullish 1 2 3 pullback bullish 180 bullish setup cal,1333875304515956737,2020-12-01 20:47:09,SwingTradeBot ASX,0,0,2528,neutral
26,flt open interest maturity 12 18 2020 high put 250 00 high call 230 00 putcallratio 1 59 maxpain option,1333835476919324676,2020-12-01 18:08:53,maxpain,0,0,2104,positive
27,fleetcor svp strategic marketing scott white introduce company fintech south lay fleetcor miss,1333834455849570306,2020-12-01 18:04:50,shp.so,0,0,55,neutral
28,with positive vaccine news course vein global financial system investor turn profoun,1333821482082971650,2020-12-01 17:13:17,shp.so,0,0,32,positive
29,flt 1 66 downtrend fall three consecutive day november 30 2020 view odds ind,1333820858205278209,2020-12-01 17:10:48,Tickeron,0,0,7214,neutral
30,flt my top canadian pick halt,1333807788980662273,2020-12-01 16:18:52,Twitter Web App,0,0,11,positive
31,flt iiroc trading resumption flt,1333807326751547392,2020-12-01 16:17:02,ADVFN News Alert,0,0,277,neutral
32,flt drone delivery one top pick halt,1333806708213346306,2020-12-01 16:14:34,Twitter Web App,0,0,11,positive
33,flt upsizing private placement the company issue 13 640 000 unit unit treasury,1333801520303808512,2020-12-01 15:53:57,Twitter Web App,0,0,2308,neutral
34,flt drone delivery canada announces upsized buy deal public offering 12 0 million,1333787222676369408,2020-12-01 14:57:09,ADVFN News Alert,0,0,277,neutral
35,flt halt,1333778162178797568,2020-12-01 14:21:08,Twitter Web App,0,0,50,neutral
36,dec 1 stock watch bbd b hexo apha nml flt lun fm cmmc grn very uptrend stock higher high past,1333769385543077888,2020-12-01 13:46:16,Zapier.com,2,1,1091,positive
37,fleetcor report third quarter 2020 financial result,1333757857775448064,2020-12-01 13:00:27,shp.so,0,0,45,neutral
38,flt enter agreement syndicate investment dealer co lead pursuant underwrit,1333664643458351105,2020-12-01 06:50:03,Twitter Web App,1,0,2308,neutral
39,cuda oil amp gas profit during slow time wait to happen acb hexo scr npi coo gfl hive apha,1333664004086980608,2020-12-01 06:47:31,Twitter Web App,1,0,263,negative
40,fleetcor support ongoing professional development employee eighteen employee participate busin,1333636993423642624,2020-12-01 05:00:11,shp.so,0,0,1716,positive
41,despite new way work due pandemic mandate compliance internal audit professional remai,1333623645919473664,2020-12-01 04:07:09,shp.so,0,0,1716,positive
42,on monday week pfizer bionntech report encouraging result test covid 19 vaccine ano,1333621909171425280,2020-12-01 04:00:15,shp.so,1,0,1716,neutral
43,in november 2020 model portfolio hold hpe pvh flt tap bkr vtrs nlsn stx flir it the model retur,1333620567048663040,2020-12-01 03:54:55,Twitter Web App,3,0,1795,neutral
44,and flt 1686,1333611711652261889,2020-12-01 03:19:44,Twitter Web App,0,0,2314,neutral
45,addition loser today unrealised atm avl twe syd clw realise flt long close small loss,1333611568286756864,2020-12-01 03:19:09,Twitter Web App,0,0,22,negative
46,target 1685 vwap close half flt,1333593780285448193,2020-12-01 02:08:28,Twitter Web App,0,0,2314,negative
47,get long flt,1333588863286009858,2020-12-01 01:48:56,Twitter for Android,8,0,648,negative
48,flt short 1713 3 pip stop despite look like bullish set good r r fails,1333582553958084608,2020-12-01 01:23:52,Twitter Web App,2,0,2314,positive
49,flt 17 not bad,1333582446554533889,2020-12-01 01:23:26,Twitter Web App,0,0,3632,positive
50,flt nxt little green ray beautiful sunshine,1333572426559492096,2020-12-01 00:43:37,Twitter for iPad,1,0,426,positive
51,all travel go run 11am flt web syd bordersopen,1333568284441014274,2020-12-01 00:27:10,Twitter Web App,2,0,3632,neutral
52,flt gap close expect trend north 16 55,1333564437098237958,2020-12-01 00:11:52,Twitter Web App,3,0,3632,neutral
53,despite queensland reopen border traveller great sydney amp victoria travel stock mix in n,1333562326578958336,2020-12-01 00:03:29,TweetDeck,3,0,42766,positive
75,mundo yes well do another leg least flt stimulus vaccine news,1334285330170560512,2020-12-02 23:56:27,Twitter Web App,1,0,3632,negative
76,qantas bullish say air traveller confident a move towards break even travel pick,1334271687009812480,2020-12-02 23:02:14,Twitter Web App,0,0,4146,positive
77,what i would like know many brain damage folk bidding travel stock like qan flt af,1334266764729827328,2020-12-02 22:42:40,Twitter Web App,3,1,1320,positive
78,cybercriminals increasingly use business email compromise bec attack gain access company system,1334228578570014724,2020-12-02 20:10:56,shp.so,0,0,32,neutral
79,flt aroon indicator reach uptrend october 27 2020 view odds indicator,1334188931168931841,2020-12-02 17:33:23,Tickeron,1,0,7214,neutral
80,during first ever skift aviation forum discuss simplify flight crew logistics president,1334157873811742720,2020-12-02 15:29:59,HubSpot,0,0,86387,positive
81,our client steve greene evp corporate development strategy say company slower,1334143054115115010,2020-12-02 14:31:05,Hootsuite Inc.,1,0,3110,negative
82,be cross border payment process technology meet need business cambridge could exped,1334014450064625664,2020-12-02 06:00:04,shp.so,0,0,1716,neutral
83,endy shake billion dollar mattress industry take mattress store put onli,1333989034033623040,2020-12-02 04:19:04,shp.so,0,0,1716,neutral
84,tomrrow watchlist nyse nasdaq 200 500 acn adbe anet apd asml avgo ba bdx cvna,1333979402179403776,2020-12-02 03:40:48,Twitter Web App,0,0,648,neutral
