,text,id,createdate,source,likes,retweets,followers,sentiment
0,g goldman sachs group inc the sec filing form 424b2,1336376924474630147,2020-12-08 18:27:42,StockTexts,0,0,1746,negative
1,the obama deception hq full length version via obama amp all president except jf,1336357706584743938,2020-12-08 17:11:20,Twitter Web App,0,0,35,positive
2,g goldman sachs group inc the sec filing form 424b2,1336352574119833602,2020-12-08 16:50:56,StockTexts,0,0,1746,negative
3,g goldman sachs group inc the sec filing form 424b2,1336344055484125185,2020-12-08 16:17:05,StockTexts,0,0,1746,negative
4,g goldman sachs group inc the sec filing form 424b2,1336333075685371906,2020-12-08 15:33:27,StockTexts,0,0,1746,negative
5,trend fox business news goldman sachs applies acquire joint venture chinese security firm wsj goldman sac,1336329778840780801,2020-12-08 15:20:21,IFTTT,0,0,348,negative
6,brief tuesday 12 08 2020 5 goldman sachs group inc move acquire 100 ownership,1336316720122908674,2020-12-08 14:28:28,Twitter Web App,0,0,8886,neutral
7,show i watch anymore this morning learn already surrender china thanks,1336300674469015555,2020-12-08 13:24:42,Twitter for iPhone,0,0,5528,positive
8,dov dov downgrade wolfe research price target 122 00 135 00 rating outperform peer perform sour,1336297877115723776,2020-12-08 13:13:35,StockTwits Web,0,0,237,negative
9,yicai global dec 8 goldman sachs group move another step closer become first wall street invest,1336292910367641601,2020-12-08 12:53:51,Twitter Web App,0,0,458,positive
10,goldman sachs applies acquire joint venture chinese security firm wsj post nagendra bandi goldman sac,1336281964148645889,2020-12-08 12:10:21,IFTTT,0,0,26,negative
11,goldman sachs group inc sign pact buy china joint venture partner make advanced,1336279358411923458,2020-12-08 12:00:00,TweetDeck,0,0,1932,positive
12,goldman sachs group inc reach agreement buy 100 china joint venture goldman sachs gao hua,1336261367947534337,2020-12-08 10:48:31,Twitter Web App,0,0,848,neutral
13,goldman sachs group sign pact buy china joint venture partner make advanced foreign b,1336249182533742595,2020-12-08 10:00:06,Socialbakers,2,1,307685,positive
14,public service enterprise group peg surprised market q3 result goldman sachs change rating sell,1336244323910873088,2020-12-08 09:40:47,"Cheap Bots, Done Quick!",0,0,74,positive
15,goldman sachs group inc sign pact buy china joint venture partner make advanced f,1336223598810316800,2020-12-08 08:18:26,Twitter Web App,0,0,12,positive
16,g goldman sachs group acquire 100 china security joint venture goldman sachs gao hua,1336199198929276928,2020-12-08 06:41:29,,0,0,39,neutral
17,goldman sachs applies acquire joint venture chinese security firm wsj via fox biz g,1336197079140589568,2020-12-08 06:33:03,IFTTT,0,0,10,negative
18,the wall street journal goldman sachs seek full control china security joint venture goldman sachs grou,1336196826287009792,2020-12-08 06:32:03,SocialOomph,0,0,81451,positive
19,goldman sachs group inc sign pact china joint venture partner wholly business becomin,1336175019332755456,2020-12-08 05:05:24,Twitter Web App,0,0,1857,neutral
20,gold man sachs group inc mov ing ac quire 100 er ship se cu ri tie joint ven ture china dee,1336174200508149761,2020-12-08 05:02:08,Twitter for iPad,0,0,100,neutral
21,goldman sachs group inc sign pact china joint venture partner wholly business,1336174170577772547,2020-12-08 05:02:01,Twitter for iPhone,2,1,137,neutral
22,also newyork report today crown jewel nyc financial market goldman sachs look,1336114415070924802,2020-12-08 01:04:35,Twitter for iPhone,0,0,222,neutral
