,text,id,createdate,source,likes,retweets,followers,sentiment
0,listen colonial song grainger flashback symphony hall trip one f,1335690274820018177,2020-12-06 20:59:12,Twitter for iPhone,2,0,344,neutral
1,belamimovie 2012 holliday grainger i think robertpattinson different i work pre twilight,1335662956420460546,2020-12-06 19:10:38,Twitter Web App,5,0,2034,neutral
2,benfield advent we upload today tomorrow advent poll together answer w ill release,1335654324437999621,2020-12-06 18:36:20,Twitter Web App,0,0,9695,negative
3,agriculture raven industry renewable energy group scotts miracle gro titan machinery tractor supply,1334802802116268032,2020-12-04 10:12:42,Twitter for Android,0,0,65,neutral
4,cool see idea practice 7 year ago pitch idea katherine grainger par,1334704175461130241,2020-12-04 03:40:47,Twitter Web App,27,6,1610,positive
5,ww grainger gww thanks sa contributor cory cramer use fastgraphs article invest stock,1334590645722345472,2020-12-03 20:09:40,Twitter Web App,1,0,2903,positive
6,gww w w grainger a 10 year full cycle analysis trading stockmarket economy,1334588858218868737,2020-12-03 20:02:33,SAArticlesTwitter,0,0,152073,positive
7,gww new insider filing w w grainger inc svp amp chief hr officer kathleen s carroll,1334571708276158470,2020-12-03 18:54:25,Insider Alerts,0,0,4512,positive
8,gww grainger 4 statement change beneficial ownership sec file from stock news alert app,1334571130330427393,2020-12-03 18:52:07,Stock News Alerts,0,0,3672,negative
9,this morning eaton etn announce hire thomas okray currently cfo grainger gww ne,1334558914080350208,2020-12-03 18:03:34,Twitter Web App,0,0,33,neutral
10,w w grainger inc 0000277135 filer securitiesexchangecommission sec,1334522981079527429,2020-12-03 15:40:47,Microsoft Power Platform,0,0,1690,negative
11,gww aaronbutler w w grainger discount with a re segment catalyst,1334504173673463808,2020-12-03 14:26:03,dlvr.it,1,0,824,neutral
12,gww w w grainger discount with a re segment catalyst invest stock economy,1334503513066389504,2020-12-03 14:23:26,SAArticlesTwitter,1,2,152073,neutral
13,gww grainger announce robert o keef vice president treasurer appoint interim cfo effectiv,1334494265385238530,2020-12-03 13:46:41,BriefingInPlayLimited,0,0,26774,neutral
14,gww grainger 8 k current report filing sec filing from stock news alert app,1334486287210991616,2020-12-03 13:14:59,Stock News Alerts,0,0,3672,negative
15,esg sustainability teladoc health teleflex texas instrument trimble navigation trinet group unifirs,1334482399019880448,2020-12-03 12:59:32,Twitter for Android,2,0,65,neutral
