,text,id,createdate,source,likes,retweets,followers,sentiment
0,join hca houston healthcare clear lake team see late education amp train job opening include regis,1336372100794253312,2020-12-08 18:08:32,CareerArc 2.0,0,0,429,negative
1,do still financial interest hca healthcare this position would make perfect sense case,1336371529907642370,2020-12-08 18:06:15,Twitter for iPhone,0,0,135,positive
2,nervous apply job like intensivist opportunity hca icc richmond va hca healthcare apply,1336370843362836487,2020-12-08 18:03:32,CareerArc 2.0,0,0,237,neutral
3,seriously screw hca healthcare los roble,1336370428332310530,2020-12-08 18:01:53,Twitter for iPhone,0,0,46,negative
4,we believe excellent people make excellence happen be part something big hca healthcare nashville tn,1336368321978015745,2020-12-08 17:53:31,CareerArc 2.0,0,0,1304,positive
5,we believe excellent people make excellence happen be part something big hca healthcare arlington tx,1336367599236468738,2020-12-08 17:50:38,CareerArc 2.0,0,0,1261,positive
6,a doctor treat houston sickest covid 19 patient die cnn on november 30 araujo preza p,1336367353135837184,2020-12-08 17:49:40,Twitter for iPhone,0,0,3123,negative
7,hca healthcare promote mitch edgeworth serve president company regional tristar health division,1336366179070468102,2020-12-08 17:45:00,TweetDeck,1,0,24995,neutral
8,together raise bar strive give people healthiertomorrow if commit improving live,1336365746918572033,2020-12-08 17:43:17,CareerArc 2.0,0,0,1320,positive
9,we believe excellent people make excellence happen be part something big hca healthcare brooksville,1336364711151976448,2020-12-08 17:39:10,CareerArc 2.0,0,0,1307,positive
10,together raise bar strive give people healthiertomorrow if commit improving live,1336364532243951620,2020-12-08 17:38:27,CareerArc 2.0,0,0,1109,positive
11,we focus keep benefit fair smart competitive full package reward support health l,1336364429970001920,2020-12-08 17:38:03,CareerArc 2.0,0,0,1244,positive
12,icu dr carlos araujo preza critical care medical director hca houston healthcare tomball texas die c,1336362471494303744,2020-12-08 17:30:16,Twitter Web App,166,37,80703,neutral
13,we hire gainesville fl click link bio apply job neurocritical care inten,1336356657694031872,2020-12-08 17:07:10,CareerArc 2.0,0,0,133,neutral
14,click link bio see currently open neurology job like general outpatient neurology nashville tenn,1336355564134141952,2020-12-08 17:02:49,CareerArc 2.0,0,0,103,positive
15,be band 5 register nurse healthcare assistant phlebotomist look additional work festi,1336353211356225540,2020-12-08 16:53:28,Twitter Web App,2,1,705,neutral
