,text,id,createdate,source,likes,retweets,followers,sentiment
0,newling farage for avoid legal liability read spineless britain local ea u,1336379621550530560,2020-12-08 18:38:25,Twitter Web App,0,0,74,positive
1,lafortune waste management pick yard waste part summit two week the mayor o,1336379169253560321,2020-12-08 18:36:37,Twitter Web App,0,0,295,negative
2,conduct awareness meeting dry wet waste segregation village ikp member group take village c,1336375873683910657,2020-12-08 18:23:31,Twitter for iPhone,0,0,48,negative
3,in recent year grow number business work benefit environment build susta,1336373039504605184,2020-12-08 18:12:15,Zoho Social,0,0,3945,neutral
4,bayelsa to establish medical waste management agency,1336370843971014656,2020-12-08 18:03:32,dlvr.it,1,0,33533,negative
5,waste operative require more info norwichjobs,1336370482938048521,2020-12-08 18:02:06,Hootsuite Inc.,0,0,4003,negative
6,icymi the division waste management along amp co host online pub,1336369957815287808,2020-12-08 18:00:01,TweetDeck,0,1,8331,negative
7,st lucie medical center hire port st lucie fl read late environmental amp waste management jo,1336369886830817281,2020-12-08 17:59:44,CareerArc 2.0,0,0,256,negative
8,hinton5 i rent equipment waste management drop,1336369451030089733,2020-12-08 17:58:00,Twitter for iPhone,1,0,113,negative
9,which state functional waste management agency the thing frustrating,1336369444357103621,2020-12-08 17:57:58,Twitter for iPhone,0,0,488,negative
10,good job dede okezie pls look waste management urban renewal,1336367471973068800,2020-12-08 17:50:08,Twitter for Android,0,0,48,positive
11,gujrat no basket no business district administration gujrat start new waste management plan c,1336366385866399745,2020-12-08 17:45:49,Twitter for Android,4,0,1441,negative
12,hello large techexpo middle east learn impact smartwaste man,1336364934796554241,2020-12-08 17:40:03,Twitter Web App,1,0,275,positive
13,go fet college waste i business management n6 finish 2016 not worke,1336364883835842564,2020-12-08 17:39:51,Twitter Web App,1,1,8,negative
14,waste management build retrofit heat transportation factor look climate mitigati,1336363380072873984,2020-12-08 17:33:52,Twitter Web App,1,0,3684,negative
15,common sense say anyone concerned profit measure employee output surveillanc,1336362781558202371,2020-12-08 17:31:30,Twitter for Android,0,0,17,negative
16,christmas different year provide opportunity think gift give w,1336362590260310016,2020-12-08 17:30:44,Hootsuite Inc.,0,0,36092,neutral
17,ya i like i prefer small commune stretch land grow f,1336361833502949376,2020-12-08 17:27:44,Twitter for Android,1,0,2120,negative
18,don waste money inflexible design software draftsight well alternative offering flexible cost e,1336361189694181376,2020-12-08 17:25:10,Powered by Sprinklr,0,0,104,negative
19,if think see new one a gary indiana waste management company bring back,1336361168177426432,2020-12-08 17:25:05,SocialNewsDesk,0,0,4795,negative
20,video pyrolyze use machine pyreg biosolids waste management look,1336360985926438915,2020-12-08 17:24:22,Twitter Web App,0,0,250,negative
21,if think see new one a gary indiana waste management company bring back,1336360913650139138,2020-12-08 17:24:04,SocialNewsDesk,0,0,36986,negative
22,if think see new one a gary indiana waste management company bring back,1336360664609284096,2020-12-08 17:23:05,SocialNewsDesk,0,0,9673,negative
23,if think see new one a gary indiana waste management company bring back,1336360414368706560,2020-12-08 17:22:05,SocialNewsDesk,0,0,17959,negative
24,if think see new one a gary indiana waste management company bring back,1336360411151654912,2020-12-08 17:22:05,SocialNewsDesk,0,0,2617,negative
25,if think see new one a gary indiana waste management company bring back,1336360410912534528,2020-12-08 17:22:04,SocialNewsDesk,0,0,14304,negative
26,if think see new one a gary indiana waste management company bring back,1336359909038952449,2020-12-08 17:20:05,SocialNewsDesk,0,0,13658,negative
27,the bishop solids management solution enable septage lagoon make simple process modification enables,1336359888176504832,2020-12-08 17:20:00,Twitter Web App,1,1,484,neutral
28,if think see new one a gary indiana waste management company bring back,1336359655107403787,2020-12-08 17:19:04,SocialNewsDesk,0,0,4245,negative
29,if think see new one a gary indiana waste management company bring back,1336359651655503876,2020-12-08 17:19:03,SocialNewsDesk,3,0,79359,negative
30,if think see new one a gary indiana waste management company bring back,1336359156031365121,2020-12-08 17:17:05,SocialNewsDesk,0,0,333,negative
31,in depth the role biomass within energy supply,1336359153845981184,2020-12-08 17:17:05,dlvr.it,0,0,12976,neutral
32,advanced waste energy gasification specialist eqtec acquires deeside rdf project,1336359150125629440,2020-12-08 17:17:04,dlvr.it,0,0,12976,positive
33,food waste reduction goal centre excellence sustainable cooling rwanda,1336359145344098306,2020-12-08 17:17:03,dlvr.it,0,0,12976,negative
34,zacks industry outlook highlight republic service waste management clean harbor,1336359061886017538,2020-12-08 17:16:43,IFTTT,0,0,1337,positive
35,i really wish ancom small commune internet river waste management grow foo,1336357925485334528,2020-12-08 17:12:12,Twitter for Android,1,0,2120,negative
36,abpoli ableg cndpoli the column order wage construction professional scientific technical serv,1336357778990850048,2020-12-08 17:11:37,Twitter Web App,1,0,87,positive
37,a covid 19 infection continue rise across state country please part health care worker,1336356149629771789,2020-12-08 17:05:09,Hootsuite Inc.,2,0,1563,neutral
38,this week lifelessons come head programme integrate waste management claire,1336356012383735808,2020-12-08 17:04:36,Twitter Web App,3,2,21278,negative
39,facility manager building manager caretaker help business avoid serious fine improve thei,1336355666953433089,2020-12-08 17:03:13,Hootsuite Inc.,0,0,2048,positive
40,those oppose pmc4wagholi use excuse not do much add village wagholikars,1336355342704263170,2020-12-08 17:01:56,Twitter for iPhone,14,17,375,negative
41,we derrick disposal one stop shop waste management service provider great edmonton area,1336355267055923200,2020-12-08 17:01:38,Hootsuite Inc.,0,0,4,positive
42,some large stock hit new 1 month low far today home depot hd sanofi sny china mobile chl ame,1336354684236394501,2020-12-08 16:59:19,Twitter Web App,1,0,19227,positive
43,globally lot legislative activity around waste management recycle two common theme,1336353617444544512,2020-12-08 16:55:05,Sprout Social,1,0,127,negative
44,i know waste management piss i leave stuff trash it fit sorry bros,1336353337478963200,2020-12-08 16:53:58,Twitter for iPhone,0,0,1389,negative
45,fair answer i fairly young speak time hospital i astound,1336353136588492804,2020-12-08 16:53:10,Twitter for iPhone,0,0,8,positive
46,i hope waste management show pick trash white house inauguration day,1336352732089815040,2020-12-08 16:51:34,Twitter Web App,0,0,0,negative
47,bran articulate well i give energy interest medicine clinical re,1336351305682530304,2020-12-08 16:45:54,Twitter Web App,2,0,5573,neutral
48,a warm welcome brown recycle successfully deliver skip hire dedicate waste management service throu,1336350579220750338,2020-12-08 16:43:00,Zoho Social,2,1,1389,positive
49,paragraph like remind i consultant alphabet agency i spend 90 mi,1336350278182981635,2020-12-08 16:41:49,Twitter Web App,1,0,228,neutral
50,never session speaker come swatch auto along swatch worker explain reality,1336348552168017920,2020-12-08 16:34:57,Twitter for Android,2,0,49,neutral
51,i never know u jobless write nonsense post ua publicity now u hav,1336348469846364160,2020-12-08 16:34:38,Twitter for Android,2,0,18,neutral
52,free webinar thursday december 10 2 00 pm est cim distinguish lecturer mayana kissiova get int,1336348467250212867,2020-12-08 16:34:37,Twitter Web App,1,0,7150,positive
53,recycle textile garment important drive circular economy concept technology way,1336347349086588937,2020-12-08 16:30:10,Hootsuite Inc.,0,0,3708,positive
54,a general manager not management make no sense say lmao my guy go i do,1336347335308218369,2020-12-08 16:30:07,Twitter for iPhone,0,0,2096,positive
55,thank warm reception today launch waste management hub kitengela the,1336346626135355403,2020-12-08 16:27:18,Twitter for Android,5,1,261,positive
56,comoxvalleyrd strathconard comox strathcona waste management give tip less wasteful holiday season,1336346050957697029,2020-12-08 16:25:01,Twitter Web App,0,0,2532,negative
57,how school can combat waste in 2018 uk government publish waste management strategy england it set,1336345561620836353,2020-12-08 16:23:04,dlvr.it,1,0,28270,negative
58,a idol learn importance time management waste time chew talk,1336345474958290948,2020-12-08 16:22:43,Twitter Web App,0,0,1144,negative
59,we kitengela today launch waste management hub preside he gov,1336344829580734471,2020-12-08 16:20:10,Twitter for Android,0,0,126,negative
60,zacks industry outlook highlight republic service waste management clean harbor,1336344176116396034,2020-12-08 16:17:34,dlvr.it,0,0,1082,positive
61,plastic waste smother vital mangrove forest java the indonesian government invest mangrove,1336343581871775746,2020-12-08 16:15:12,Hootsuite Inc.,3,0,4195,negative
62,balance need white house staff appointees difficult tight management chief st,1336341416432328705,2020-12-08 16:06:36,Twitter Web App,0,1,19895,negative
63,in kenya almost 40 youth unemployed we engage youth collect pre process e waste give,1336341297553170432,2020-12-08 16:06:08,Sprout Social,1,0,2155,negative
64,from exposehby local medium house a water amp sewage treatment system also drain poorly treat,1336340419722940423,2020-12-08 16:02:38,Twitter for Android,0,0,3,negative
